번호,학년/가진급학년,Curriculum,교과영역구분,CourseId,Name,Professor,수업캠퍼스,LectureTime,LectureRoom,Credit,이론,실습,공학설계,강의계획서,교과목해설,강의유형,강의종류,혁신교과목구분,원어강의,강평결과,이수구분,강의미리보기,개설대학,개설학과/전공,집중이수학기구분,비고,교과목영문명,
1,1학년,전공,기초,ASW2004-01,어드벤처디자인,신연순,서울,"화5.0-6.5/13:00-15:00,목5.0-6.5/13:00-15:00","405-325(원흥관 1,3 E325 원흥 PBL),405-325(원흥관 1,3 E325 원흥 PBL)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Adventure Design ,
2,1학년,전공,기초,ASW2004-02,어드벤처디자인,임상수,서울,"월2.0-3.5/10:00-12:00,수2.0-3.5/10:00-12:00","407-224(정보문화관P P403 컴퓨터실습실2),407-224(정보문화관P P403 컴퓨터실습실2)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 40명,Adventure Design ,
3,1학년,전공,기초,ASW2004-03,어드벤처디자인,조성인,서울,화4.5-8.0/12:30-16:30,401-4147(신공학관(기숙사) 4147 강의실_스마트),3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Adventure Design ,
4,"1,2학년",전공,기초,ASW2007-01,프로그래밍기초,박재철,서울,"수9.0-10.5/17:00-18:50,목9.0-10.5/17:00-18:50","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2),401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Programming Fundamentals,
5,"1,2학년",전공,기초,ASW2007-02,프로그래밍기초,한인,서울,"월6.0-7.5/14:00-16:00,수7.0-8.5/15:00-17:00","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 40명,Programming Fundamentals,
6,"1,2학년",전공,기초,ASW2007-03,프로그래밍기초,김시명,서울,"수9.0-10.5/17:00-18:50,목2.0-3.5/10:00-12:00","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)",3,2,2,,,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Programming Fundamentals,
7,"1,2학년",전공,기초,ASW2007-04,프로그래밍기초,강태선,서울,"화7.0-8.5/15:00-17:00,금6.0-7.5/14:00-16:00","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Programming Fundamentals,
8,"1,2학년",전공,기초,ASW2008-01,심화프로그래밍,조성인,서울,"화2.0-3.5/10:00-12:00,수7.0-8.5/15:00-17:00","401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,MME전공 전용,Advanced Programming,
9,"1,2학년",전공,기초,ASW2008-02,심화프로그래밍,윤성림,서울,"화2.0-3.5/10:00-12:00,수2.0-3.5/10:00-12:00","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 30명,Advanced Programming,
10,"1,2학년",전공,기초,ASW2008-03,심화프로그래밍,윤성림,서울,"화5.0-6.5/13:00-15:00,수5.0-6.5/13:00-15:00","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 30명,Advanced Programming,
11,"1,2학년",전공,기초,ASW2009-01,객체지향프로그래밍,윤인식,서울,"화5.0-6.5/13:00-15:00,목5.0-6.5/13:00-15:00","407-207(정보문화관P P402 컴퓨터실습실1),407-207(정보문화관P P402 컴퓨터실습실1)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,"수강정원 40명, AI전공 및 AI융합학부 전용",Object-Oriented Programming,
12,"1,2학년",전공,기초,ASW2009-03,객체지향프로그래밍,박재철,서울,"수7.0-8.5/15:00-17:00,목7.0-8.5/15:00-17:00","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Object-Oriented Programming,
13,"1,2학년",전공,기초,ASW2009-04,객체지향프로그래밍,석문기,서울,"화8.0-9.5/16:00-18:00,금8.0-9.5/16:00-18:00","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Object-Oriented Programming,
14,2학년,전공,기초,CSE2017-01,자료구조와실습,최은만,서울,"화2.0-3.5/10:00-12:00,목5.0-6.5/13:00-15:00","401-6144(신공학관(기숙사) 6144 강의실),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의, 에듀테크러닝,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 컴퓨터공학전공,,"수강정원 40명, 혁신교수법(에듀테크러닝)(에듀테크러닝 과목으로 Zybooks 제한)",Data Structures and Practice,
15,2학년,전공,기초,CSE2017-02,자료구조와실습,김준태,서울,"화5.0-6.5/13:00-15:00,목2.0-3.5/10:00-12:00","401-6144(신공학관(기숙사) 6144 강의실),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 컴퓨터공학전공,,수강정원 50명,Data Structures and Practice,
16,2학년,전공,기초,CSE2017-03,자료구조와실습,김시명,서울,"수7.0-8.5/15:00-17:00,목5.0-6.5/13:00-15:00","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)",3,2,2,,,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 컴퓨터공학전공,,,Data Structures and Practice,
17,"1,2학년",전공,기초,CSE2018-01,컴퓨터구성,장태무,서울,"월2.0-3.5/10:00-12:00,수0.0-1.5/08:00-10:00","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-6144(신공학관(기숙사) 6144 강의실)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 컴퓨터공학전공,,,Computer Organization,
